Month,Years Since Epoch (t),Region,Max NDVI,Mean NDVI,Min NDVI
01/19,49.039,Alaotra Mangoro,9992,5522.831,-2000
01/19,49.039,Amoron I Mania,9991,5443.031,-1565
01/19,49.039,Analamanga,9991,4758.411,-1959
01/19,49.039,Analanjirofo,9995,6493.427,-2000
01/19,49.039,Androy,9702,4995.914,-1910
01/19,49.039,Anosy,9995,5227.367,-1986
01/19,49.039,Atsimo Andrefana,9967,5193.511,-2000
01/19,49.039,Atsimo Atsinanana,9994,6055.609,-1979
01/19,49.039,Atsinanana,9994,7116.226,-1970
01/19,49.039,Betsiboka,9994,5000.875,-1994
01/19,49.039,Boeny,9989,5608.939,-1996
01/19,49.039,Bongolava,9979,5588.831,-1497
01/19,49.039,Diana,9996,7216.484,-1961
01/19,49.039,Haute Matsiatra,9993,4640.97,-1237
01/19,49.039,Ihorombe,9992,4585.049,-1981
01/19,49.039,Itasy,9906,5239.646,-1999
01/19,49.039,Melaky,9990,5715.899,-2000
01/19,49.039,Menabe,9960,5308.594,-2000
01/19,49.039,Sava,9995,7343.014,-1970
01/19,49.039,Sofia,9992,6331.24,-1999
01/19,49.039,Vakinankaratra,9985,5585.192,-461
01/19,49.039,Vatovavy Fitovinany,9993,6443.312,-1994
02/19,49.124,Alaotra Mangoro,9994,5958.076,-2000
02/19,49.124,Amoron I Mania,9990,5171.768,-1234
02/19,49.124,Analamanga,9987,5036.749,-1955
02/19,49.124,Analanjirofo,9995,6674.161,-1801
02/19,49.124,Androy,9984,5273.369,-1076
02/19,49.124,Anosy,9992,5355.476,-1920
02/19,49.124,Atsimo Andrefana,9993,5344.988,-2000
02/19,49.124,Atsimo Atsinanana,9995,6104.03,-1919
02/19,49.124,Atsinanana,9966,7464.11,-1995
02/19,49.124,Betsiboka,9995,5074.117,-1994
02/19,49.124,Boeny,9993,5872.562,-1998
02/19,49.124,Bongolava,9992,4670.358,-515
02/19,49.124,Diana,9993,6400.673,-1947
02/19,49.124,Haute Matsiatra,9993,4770.573,-411
02/19,49.124,Ihorombe,9992,4526.914,-1824
02/19,49.124,Itasy,9994,4485.71,-1980
02/19,49.124,Melaky,9995,5116.485,-1990
02/19,49.124,Menabe,9993,4792.186,-1993
02/19,49.124,Sava,9994,7163.534,-2000
02/19,49.124,Sofia,9995,5722.561,-2000
02/19,49.124,Vakinankaratra,9995,5175.593,28
02/19,49.124,Vatovavy Fitovinany,9982,7228.694,-2000
