Month,Years Since Epoch (t),Region,Max NDVI,Mean NDVI,Min NDVI
01/19,49.039,d'Andohahela,0.945,0.763,-0.036
01/19,49.039,Midongy Betofaka,0.944,0.789,-0.794
01/19,49.039,Tsimanampetsotsa,0.888,0.501,-0.852
01/19,49.039,d'Ankarafantsika,0.998,0.732,-0.02
01/19,49.039,Masoala,0.968,0.55,-0.994
01/19,49.039,Alan'Ankirisa,0.934,0.579,-0.797
02/19,49.124,d'Andohahela,0.969,0.765,-0.192
02/19,49.124,Midongy Betofaka,0.996,0.775,-0.488
02/19,49.124,Tsimanampetsotsa,0.896,0.518,-0.998
02/19,49.124,d'Ankarafantsika,0.934,0.77,0.042
02/19,49.124,Masoala,0.946,0.483,-0.995
02/19,49.124,Alan'Ankirisa,0.928,0.639,-0.688
03/19,49.2,d'Andohahela,0.974,0.803,-0.433
03/19,49.2,Midongy Betofaka,0.95,0.816,-0.958
03/19,49.2,Tsimanampetsotsa,0.885,0.515,-0.992
03/19,49.2,d'Ankarafantsika,0.997,0.774,-0.432
03/19,49.2,Masoala,0.997,0.58,-0.993
03/19,49.2,Alan'Ankirisa,0.931,0.661,-0.602
04/19,49.285,d'Andohahela,0.971,0.779,-0.305
04/19,49.285,Midongy Betofaka,0.953,0.826,-0.588
04/19,49.285,Tsimanampetsotsa,0.903,0.458,-0.874
04/19,49.285,d'Ankarafantsika,0.998,0.767,-0.292
04/19,49.285,Masoala,0.998,0.46,-0.994
04/19,49.285,Alan'Ankirisa,0.918,0.583,-0.513
05/19,49.367,d'Andohahela,0.999,0.795,-0.298
05/19,49.367,Midongy Betofaka,0.999,0.834,-0.634
05/19,49.367,Tsimanampetsotsa,0.892,0.434,-0.998
05/19,49.367,d'Ankarafantsika,0.932,0.731,-0.344
05/19,49.367,Masoala,0.995,0.57,-0.989
05/19,49.367,Alan'Ankirisa,0.897,0.49,-0.555
06/19,49.452,d'Andohahela,0.995,0.754,-0.126
06/19,49.452,Midongy Betofaka,0.988,0.812,-0.673
06/19,49.452,Tsimanampetsotsa,0.912,0.41,-0.998
06/19,49.452,d'Ankarafantsika,0.959,0.677,-0.182
06/19,49.452,Masoala,0.999,0.458,-0.993
06/19,49.452,Alan'Ankirisa,0.901,0.477,-0.576
07/19,49.534,d'Andohahela,0.998,0.77,-0.401
07/19,49.534,Midongy Betofaka,0.999,0.826,-0.572
07/19,49.534,Tsimanampetsotsa,0.999,0.401,-0.999
07/19,49.534,d'Ankarafantsika,0.907,0.625,-0.025
07/19,49.534,Masoala,0.997,0.373,-0.991
07/19,49.534,Alan'Ankirisa,0.881,0.421,-0.612
08/19,49.619,d'Andohahela,0.922,0.727,-0.321
08/19,49.619,Midongy Betofaka,0.913,0.779,-0.467
08/19,49.619,Tsimanampetsotsa,0.945,0.312,-0.999
08/19,49.619,d'Ankarafantsika,0.945,0.572,0.002
08/19,49.619,Masoala,0.937,0.449,-0.901
08/19,49.619,Alan'Ankirisa,0.886,0.376,-0.607
09/19,49.704,d'Andohahela,0.915,0.711,-0.064
09/19,49.704,Midongy Betofaka,0.914,0.718,-0.486
09/19,49.704,Tsimanampetsotsa,0.873,0.27,-0.915
09/19,49.704,d'Ankarafantsika,0.877,0.507,0.035
09/19,49.704,Masoala,0.991,0.521,-0.995
09/19,49.704,Alan'Ankirisa,0.851,0.325,-0.636
10/19,49.786,d'Andohahela,0.905,0.688,-0.163
10/19,49.786,Midongy Betofaka,0.895,0.74,-0.736
10/19,49.786,Tsimanampetsotsa,0.864,0.252,-0.992
10/19,49.786,d'Ankarafantsika,0.846,0.489,-0.006
10/19,49.786,Masoala,0.999,0.485,-0.996
10/19,49.786,Alan'Ankirisa,0.789,0.252,-0.345
11/19,49.871,d'Andohahela,0.92,0.705,-0.038
11/19,49.871,Midongy Betofaka,0.905,0.758,-0.408
11/19,49.871,Tsimanampetsotsa,0.85,0.357,-0.999
11/19,49.871,d'Ankarafantsika,0.979,0.56,-0.187
11/19,49.871,Masoala,0.921,0.506,-0.995
11/19,49.871,Alan'Ankirisa,0.891,0.316,-0.455
12/19,49.953,d'Andohahela,0.932,0.74,0.008
12/19,49.953,Midongy Betofaka,0.979,0.73,-0.584
12/19,49.953,Tsimanampetsotsa,0.942,0.367,-0.999
12/19,49.953,d'Ankarafantsika,0.95,0.701,-0.12
12/19,49.953,Masoala,0.994,0.481,-0.996
12/19,49.953,Alan'Ankirisa,0.914,0.507,-0.565
01/20,50.038,d'Andohahela,0.927,0.709,-0.003
01/20,50.038,Midongy Betofaka,0.982,0.764,-0.412
01/20,50.038,Tsimanampetsotsa,0.869,0.376,-0.999
01/20,50.038,d'Ankarafantsika,0.91,0.731,-0.096
01/20,50.038,Masoala,0.941,0.409,-0.995
01/20,50.038,Alan'Ankirisa,0.94,0.672,-0.755
02/20,50.123,d'Andohahela,0.947,0.697,0.023
02/20,50.123,Midongy Betofaka,0.932,0.779,-0.656
02/20,50.123,Tsimanampetsotsa,0.883,0.435,-0.999
02/20,50.123,d'Ankarafantsika,0.995,0.803,-0.299
02/20,50.123,Masoala,0.998,0.55,-0.996
02/20,50.123,Alan'Ankirisa,0.995,0.698,-0.86
03/20,50.202,d'Andohahela,0.934,0.72,-0.265
03/20,50.202,Midongy Betofaka,0.999,0.81,-0.676
03/20,50.202,Tsimanampetsotsa,0.837,0.392,-0.951
