Month,Years Since Epoch (t),Max NDVI,Mean NDVI,Min NDVI,Region
01/19,49.039,0.977,0.764,-0.472,d'Andohahela
01/19,49.039,0.999,0.791,-0.869,Midongy Betofaka
01/19,49.039,0.905,0.503,-0.861,Tsimanampetsotsa
01/19,49.039,0.999,0.737,-0.386,d'Ankarafantsika
01/19,49.039,1.0,0.55,-0.998,Masoala
01/19,49.039,0.938,0.577,-0.89,Alan'Ankirisa
02/19,49.124,0.998,0.766,-0.673,d'Andohahela
02/19,49.124,0.997,0.774,-0.614,Midongy Betofaka
02/19,49.124,0.921,0.52,-0.999,Tsimanampetsotsa
02/19,49.124,0.985,0.77,-0.386,d'Ankarafantsika
02/19,49.124,0.977,0.469,-0.995,Masoala
02/19,49.124,0.965,0.638,-0.731,Alan'Ankirisa
03/19,49.2,0.999,0.803,-0.544,d'Andohahela
03/19,49.2,0.995,0.815,-0.996,Midongy Betofaka
03/19,49.2,0.92,0.516,-0.998,Tsimanampetsotsa
03/19,49.2,0.999,0.777,-0.663,d'Ankarafantsika
03/19,49.2,0.999,0.578,-0.994,Masoala
03/19,49.2,0.937,0.661,-0.636,Alan'Ankirisa
04/19,49.285,0.999,0.781,-0.543,d'Andohahela
04/19,49.285,0.996,0.825,-0.705,Midongy Betofaka
04/19,49.285,0.937,0.459,-0.891,Tsimanampetsotsa
04/19,49.285,0.999,0.768,-0.614,d'Ankarafantsika
04/19,49.285,0.999,0.451,-0.997,Masoala
04/19,49.285,0.958,0.582,-0.534,Alan'Ankirisa
05/19,49.367,1.0,0.797,-0.722,d'Andohahela
05/19,49.367,0.999,0.835,-0.98,Midongy Betofaka
05/19,49.367,0.925,0.436,-0.998,Tsimanampetsotsa
05/19,49.367,0.993,0.732,-0.499,d'Ankarafantsika
05/19,49.367,0.999,0.566,-0.994,Masoala
05/19,49.367,0.999,0.493,-0.601,Alan'Ankirisa
06/19,49.452,0.999,0.757,-0.951,d'Andohahela
06/19,49.452,0.999,0.813,-0.976,Midongy Betofaka
06/19,49.452,0.999,0.412,-0.999,Tsimanampetsotsa
